RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G,Won SB
1,New Orleans,7474,467.1,5347,334.2,2127,132.9,547,34.2,0
2,New England,6848,428,5084,317.8,1764,110.3,513,32.1,0
3,Green Bay,6482,405.1,4924,307.8,1558,97.4,560,35,0
4,Philadelphia,6386,399.1,4110,256.9,2276,142.3,396,24.8,0
5,Detroit,6337,396.1,4814,300.9,1523,95.2,474,29.6,0
6,LA Chargers,6290,393.1,4426,276.6,1864,116.5,406,25.4,0
7,Carolina,6237,389.8,3829,239.3,2408,150.5,406,25.4,0
8,NY Giants,6161,385.1,4734,295.9,1427,89.2,394,24.6,1
9,Oakland,6072,379.5,3962,247.6,2110,131.9,359,22.4,0
10,Atlanta,6026,376.6,4192,262,1834,114.6,402,25.1,0
11,Dallas,6008,375.5,4201,262.6,1807,112.9,369,23.1,0
12,Pittsburgh,5957,372.3,4054,253.4,1903,118.9,325,20.3,0
13,Houston,5954,372.1,3506,219.1,2448,153,381,23.8,0
14,Buffalo,5624,351.5,3703,231.4,1921,120.1,372,23.3,0
15,Baltimore,5419,338.7,3423,213.9,1996,124.8,378,23.6,0
16,Washington,5387,336.7,3773,235.8,1614,100.9,288,18,0
17,Tennessee,5361,335.1,3923,245.2,1438,89.9,325,20.3,0
18,Minnesota,5275,329.7,2957,184.8,2318,144.9,340,21.3,0
19,Arizona,5192,324.5,3567,222.9,1625,101.6,312,19.5,0
20,Cincinnati,5118,319.9,3340,208.8,1778,111.1,344,21.5,0
21,Tampa Bay,5108,319.3,3650,228.1,1458,91.1,287,17.9,0
22,Miami,5078,317.4,3091,193.2,1987,124.2,329,20.6,0
23,Denver,5066,316.6,2434,152.1,2632,164.5,309,19.3,0
24,Chicago,5026,314.1,3011,188.2,2015,125.9,353,22.1,0
25,NY Jets,4989,311.8,3297,206.1,1692,105.8,377,23.6,0
26,San Francisco,4974,310.9,2930,183.1,2044,127.8,380,23.8,0
27,Kansas City,4973,310.8,3080,192.5,1893,118.3,212,13.3,0
28,Seattle,4861,303.8,3105,194.1,1756,109.8,321,20.1,0
29,Cleveland,4621,288.8,3090,193.1,1531,95.7,218,13.6,0
30,Indianapolis,4589,286.8,2995,187.2,1594,99.6,243,15.2,0
31,LA Rams,4537,283.6,2870,179.4,1667,104.2,193,12.1,0
32,Jacksonville,4149,259.3,2179,136.2,1970,123.1,243,15.2,0
