RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G,Won SB
1,Houston,4821,301.3,3226,201.6,1595,99.7,328,20.5,0
2,Arizona,4883,305.2,3365,210.3,1518,94.9,362,22.6,0
3,Minnesota,5038,314.9,3327,207.9,1711,106.9,307,19.2,0
4,Denver,5057,316.1,2972,185.8,2085,130.3,297,18.6,0
5,Seattle,5099,318.7,3612,225.8,1487,92.9,292,18.3,0
6,Jacksonville,5147,321.7,3444,215.3,1703,106.4,400,25,0
7,Baltimore,5154,322.1,3724,232.8,1430,89.4,321,20.1,0
8,New England,5223,326.4,3806,237.9,1417,88.6,250,15.6,1
9,LA Rams,5392,337,3732,233.3,1660,103.8,394,24.6,0
10,NY Giants,5435,339.7,4018,251.1,1417,88.6,284,17.8,0
11,NY Jets,5479,342.4,3898,243.6,1581,98.8,409,25.6,0
12,Pittsburgh,5482,342.6,3882,242.6,1600,100,327,20.4,0
13,Philadelphia,5484,342.8,3832,239.5,1652,103.3,331,20.7,0
14,Dallas,5503,343.9,4167,260.4,1336,83.5,306,19.1,0
15,Chicago,5548,346.8,3598,224.9,1950,121.9,399,24.9,0
16,LA Chargers,5554,347.1,3987,249.2,1567,97.9,423,26.4,0
17,Cincinnati,5612,350.8,3800,237.5,1812,113.3,315,19.7,0
18,Detroit,5676,354.8,3975,248.4,1701,106.3,358,22.4,0
19,Buffalo,5712,357,3582,223.9,2130,133.1,378,23.6,0
20,Tennessee,5720,357.5,4307,269.2,1413,88.3,378,23.6,0
21,Carolina,5756,359.8,4291,268.2,1465,91.6,402,25.1,0
22,Green Bay,5823,363.9,4308,269.3,1515,94.7,388,24.3,0
23,Tampa Bay,5887,367.9,4012,250.8,1875,117.2,369,23.1,0
24,Kansas City,5896,368.5,3958,247.4,1938,121.1,311,19.4,0
25,Atlanta,5939,371.2,4267,266.7,1672,104.5,406,25.4,0
26,Oakland,6001,375.1,4120,257.5,1881,117.6,385,24.1,0
27,New Orleans,6006,375.4,4380,273.8,1626,101.6,454,28.4,0
28,Washington,6046,377.9,4130,258.1,1916,119.8,383,23.9,0
29,Miami,6122,382.6,3875,242.2,2247,140.4,380,23.8,0
30,Indianapolis,6126,382.9,4200,262.5,1926,120.4,392,24.5,0
31,Cleveland,6279,392.4,3996,249.8,2283,142.7,452,28.3,0
32,San Francisco,6502,406.4,3848,240.5,2654,165.9,480,30,0
