Team,W,L,T,Result
Panthers,15,1,0,2
Cardinals,13,3,0,3
Vikings,11,5,0,4
Redskins,9,7,0,4
Packers,10,6,0,4
Seahawks,10,6,0,4
Falcons,8,8,0,5
Rams,7,9,0,5
Lions,7,9,0,5
Eagles,7,9,0,5
Saints,7,9,0,5
Giants,6,10,0,5
Bears,6,10,0,5
Buccaneers,6,10,0,5
49ers,5,11,0,5
Cowboys,4,12,0,5
