Team,W,L,T,Result
Broncos,13,3,0,2
Patriots,12,4,0,3
Bengals,11,5,0,4
Colts,11,5,0,4
Chiefs,11,5,0,4
Chargers,9,7,0,4
Steelers,8,8,0,5
Ravens,8,8,0,5
Jets,8,8,0,5
Dolphins,8,8,0,5
Titans,7,9,0,5
Bills,6,10,0,5
Raiders,4,12,0,5
Jaguars,4,12,0,5
Browns,4,12,0,5
Texans,2,14,0,5
