Team,W,L,T,Result
Patriots,12,4,0,1
Broncos,12,4,0,4
Steelers,11,5,0,4
Colts,11,5,0,3
Bengals,10,5,1,4
Ravens,10,6,0,4
Texans,9,7,0,5
Chiefs,9,7,0,5
Chargers,9,7,0,5
Bills,9,7,0,5
Dolphins,8,8,0,5
Browns,7,9,0,5
Jets,4,12,0,5
Jaguars,3,13,0,5
Raiders,3,13,0,5
Titans,2,14,0,5
