Team,W,L,T,Result
Seahawks,13,3,0,1
Panthers,12,4,0,4
Eagles,10,6,0,4
Packers,8,7,1,4
49ers,12,4,0,3
Saints,11,5,0,4
Cardinals,10,6,0,5
Bears,8,8,0,5
Cowboys,8,8,0,5
Giants,7,9,0,5
Lions,7,9,0,5
Rams,7,9,0,5
Vikings,5,10,1,5
Falcons,4,12,0,5
Buccaneers,4,12,0,5
Redskins,3,13,0,5
