Team,W,L,T,Result
Patriots,14,2,0,1
Chiefs,12,4,0,4
Steelers,11,5,0,3
Texans,9,7,0,4
Raiders,12,4,0,4
Dolphins,10,6,0,4
Titans,9,7,0,5
Broncos,9,7,0,5
Ravens,8,8,0,5
Colts,8,8,0,5
Bills,7,9,0,5
Bengals,6,9,1,5
Jets,5,11,0,5
Chargers,5,11,0,5
Jaguars,3,13,0,5
Browns,1,15,0,5
