Team,W,L,T,Result
Falcons,13,3,0,3
49ers,11,4,1,2
Packers,11,5,0,4
Redskins,10,6,0,4
Seahawks,11,5,0,4
Vikings,10,6,0,4
Bears,10,6,0,5
Giants,9,7,0,5
Cowboys,8,8,0,5
Rams,7,8,1,5
Panthers,7,9,0,5
Saints,7,9,0,5
Buccaneers,7,9,0,5
Cardinals,5,11,0,5
Lions,4,12,0,5
Eagles,4,12,0,5
