Team,W,L,T,Result
Broncos,13,3,0,4
Patriots,12,4,0,3
Texans,12,4,0,4
Ravens,10,6,0,1
Colts,11,5,0,4
Bengals,10,6,0,4
Steelers,8,8,0,5
Chargers,7,9,0,5
Dolphins,7,9,0,5
Titans,6,10,0,5
Jets,6,10,0,5
Bills,6,10,0,5
Browns,5,11,0,5
Raiders,4,12,0,5
Jaguars,2,14,0,5
Chiefs,2,14,0,5
