Team,W,L,T,Result
Patriots,13,3,0,2
Steelers,13,3,0,3
Jaguars,10,6,0,4
Chiefs,10,6,0,4
Titans,9,7,0,4
Bills,9,7,0,4
Ravens,9,7,0,5
Chargers,9,7,0,5
Bengals,7,9,0,5
Raiders,6,10,0,5
Dolphins,6,10,0,5
Broncos,5,11,0,5
Jets,5,11,0,5
Colts,4,12,0,5
Texans,4,12,0,5
Browns,0,16,0,5
