Team,W,L,T,Result
Broncos,12,4,0,1
Patriots,12,4,0,3
Bengals,12,4,0,4
Texans,9,7,0,4
Chiefs,11,5,0,4
Steelers,10,6,0,4
Jets,10,6,0,5
Bills,8,8,0,5
Colts,8,8,0,5
Raiders,7,9,0,5
Dolphins,6,10,0,5
Jaguars,5,11,0,5
Ravens,5,11,0,5
Chargers,4,12,0,5
Browns,3,13,0,5
Titans,3,13,0,5
