Team,W,L,T,Result
Seahawks,12,4,0,2
Packers,12,4,0,3
Cowboys,12,4,0,4
Panthers,7,8,1,4
Cardinals,11,5,0,4
Lions,11,5,0,4
Eagles,10,6,0,5
49ers,8,8,0,5
Saints,7,9,0,5
Vikings,7,9,0,5
Giants,6,10,0,5
Falcons,6,10,0,5
Rams,6,10,0,5
Bears,5,11,0,5
Redskins,4,12,0,5
Buccaneers,2,14,0,5
