Team,W,L,T,Result
Falcons,11,5,0,2
Cowboys,13,3,0,4
Seahawks,10,5,1,4
Packers,10,6,0,3
Giants,11,5,0,4
Lions,9,7,0,4
Buccaneers,9,7,0,5
Redskins,8,7,1,5
Vikings,8,8,0,5
Cardinals,7,8,1,5
Saints,7,9,0,5
Eagles,7,9,0,5
Panthers,6,10,0,5
Rams,4,12,0,5
Bears,3,13,0,5
49ers,2,14,0,5
