Week,Season,Day,Visiting Team,Visiting,Conference,Division,Home,Home Team,Conference,Division,
6,2018,Sun,PIT,Steelers,AFC,North,Bengals,CIN,AFC,North,
6,2018,Sun,LAC,Chargers,AFC,West,Browns,CLE,AFC,North,
6,2018,Sun,BUF,Bills,AFC,East,Texans,HOU,AFC,South,
6,2018,Sun,CHI,Bears,NFC,North,Dolphins,MIA,AFC,East,
6,2018,Sun,ARI,Cardinals,NFC,West,Vikings,MIN,NFC,North,
6,2018,Sun,IND,Colts,AFC,South ,Jets,NYJ,AFC,East,
6,2018,Sun,SEA,Seahawks,NFC,West,Raiders,OAK,AFC,West,
6,2018,Sun,CAR,Panthers,NFC,South,Redskins,WAS,NFC,East,
6,2018,Sun,STL,Rams,NFC,West,Broncos,DEN,AFC,West,
6,2018,Sun,JAX,Jaguars,AFC,South ,Cowboys,DAL,NFC,East,
6,2018,Sun,BAL,Ravens,AFC,North,Titans,TEN,AFC,South,
6,2018,Sun,KC,Chiefs,AFC,West,Patriots,NE,AFC,East,
6,2018,Mon,SF,49ers,NFC,West,Packers,GB,NFC,North,
7,2018,Thu,DEN,Broncos,AFC,West,Cardinals,ARI,NFC,West,
7,2018,Sun,TEN,Titans,AFC,South ,Chargers,LAC,AFC,West,
7,2018,Sun,NE,Patriots,AFC,West,Bears,CHI,NFC,North,
7,2018,Sun,BUF,Bills,AFC,East,Colts,IND,AFC,South,
7,2018,Sun,HOU,Texans,AFC,South , Jaguars,JAX,AFC,South,
7,2018,Sun,CIN,Bengals,AFC,North,Chiefs,KC,AFC,West,
7,2018,Sun,DET,Lions,NFC,North,Dolphins,MIA,AFC,East,
7,2018,Sun,MIN,Vikings,NFC,North,Jets,NYJ,AFC,East,
7,2018,Sun,CAR,Panthers,NFC,South,Eagles,PHI,NFC,East,
7,2018,Sun,CLE,Browns,AFC,North,Buccaneers,TB,NFC,South,
7,2018,Sun,NO,Saints,NFC,South,Ravens,BAL,AFC,North,
7,2018,Sun,DAL,Cowboys,NFC,East,Redskins,WAS,NFC,East,
7,2018,Sun,STL,Rams,NFC,West,49ers,SF,NFC,West,
7,2018,Mon,NYG,Giants,NFC,East,Falcons,ATL,NFC,South,
8,2018,Thu,MIA,Dolphins,AFC,East,Texans,HOU,AFC,South,
8,2018,Sun,PHI,Eagles,NFC,East, Jaguars,JAX,AFC,South,
8,2018,Sun,BAL,Ravens,AFC,North,Panthers,CAR,NFC,South,
8,2018,Sun,NYJ, Jets,AFC,West,Bears,CHI,NFC,North,
8,2018,Sun,TB,Buccaneers,NFC,South,Bengals,CIN,AFC,North,
8,2018,Sun,SEA,Seahawks,NFC,West,Lions,DET,NFC,North,
8,2018,Sun,DEN,Broncos,AFC,West,Chiefs,KC,AFC,West,
8,2018,Sun,WAS,Redskins,NFC,East,Giants,NYG,NFC,East,
8,2018,Sun,CLE,Browns,AFC,North,Steelers,PIT,AFC,North,
8,2018,Sun,IND,Colts,AFC,South ,Raiders,OAK,AFC,West,
8,2018,Sun,SF,49ers,NFC,West,Cardinals,ARI,NFC,West,
8,2018,Sun,GB,Packers,NFC,North,Rams,STL,NFC,West,
8,2018,Sun,NO,Saints,NFC,South,Vikings,MIN,NFC,North,
8,2018,Mon,NE,Patriots,AFC,East,Bills,BUF,AFC,East,
9,2018,Thu,OAK,Raiders,AFC,West,49ers,SF,NFC,West,
9,2018,Sun,CHI,Bears,NFC,North,Bills,BUF,AFC,East,
9,2018,Sun,TB,Buccaneers,NFC,South,Panthers,CAR,NFC,South,
9,2018,Sun,KC,Chiefs,AFC,West,Browns,CLE,AFC,North,
9,2018,Sun,NYJ, Jets,AFC,East,Dolphins,MIA,AFC,East,
9,2018,Sun,DET,Lions,NFC,North,Vikings,MIN,NFC,North,
9,2018,Sun,PIT,Steelers,AFC,North,Ravens,BAL,AFC,North,
9,2018,Sun,ATL,Falcons,NFC,South,Redskins,WAS,NFC,East,
9,2018,Sun,HOU,Texans,AFC,South ,Broncos,DEN,AFC,West,
9,2018,Sun,LAC,Chargers,AFC,West,Seahawks,SEA,NFC,West,
9,2018,Sun,STL,Rams,NFC,West,Saints,NO,NFC,South,
9,2018,Sun,GB,Packers,NFC,North,Patriots,NE,AFC,East,
9,2018,Mon,TEN,Titans,AFC,South ,Cowboys,DAL,NFC,East,
10,2018,Thu,CAR,Panthers,NFC,South,Steelers,PIT,AFC,North,
10,2018,Sun,DET,Lions,NFC,North,Bears,CHI,NFC,North,
10,2018,Sun,NO,Saints,NFC,South,Bengals,CIN,AFC,North,
10,2018,Sun,ATL,Falcons,NFC,South,Browns,CLE,AFC,North,
10,2018,Sun,JAX,Jaguars,AFC,South ,Colts,IND,AFC,South,
10,2018,Sun,MIA,Dolphins,AFC,West,Packers,GB,NFC,North,
