game_id,gameorder,date_game,year_id,neutral,is_playoff,fran_id,home,away,opp_fran,elo_i,elo_n,elo_prob,home_score,away_score,result
4,4MIABUF,10/4/2009,2010,0,0,Dolphins,MIA,BUF,Bills,1468.29,1444.562,0.624984485,38,10,1
4,4WSHTB,10/4/2009,2010,0,0,Redskins,WSH,TB,Buccaneers,1463.896,1413.65,0.660025825,16,13,1
4,4NEBAL,10/4/2009,2010,0,0,Patriots,NE,BAL,Ravens,1608.136,1647.865,0.536303893,27,21,1
4,4NONYJ,10/4/2009,2010,0,0,Saints,NO,NYJ,Jets,1605.808,1560.921,0.653069803,24,10,1
4,4KCNYG,10/4/2009,2010,0,0,Chiefs,KC,NYG,Giants,1330.608,1632.633,0.203521971,16,27,0
4,4JAXTEN,10/4/2009,2010,0,0,Jaguars,JAX,TEN,Titans,1460.938,1544.05,0.473958323,37,17,1
4,4HOUOAK,10/4/2009,2010,0,0,Texans,HOU,OAK,Raiders,1460.69,1398.437,0.675359594,29,6,1
4,4DENDAL,10/4/2009,2010,0,0,Broncos,DEN,DAL,Cowboys,1522.033,1567.8,0.527650274,17,10,1
4,4INDSEA,10/4/2009,2010,0,0,Colts,IND,SEA,Seahawks,1661.782,1423.36,0.851528182,34,17,1
4,4CLECIN,10/4/2009,2010,0,0,Browns,CLE,CIN,Bengals,1374.162,1480.724,0.440471159,20,23,0
4,4CHIDET,10/4/2009,2010,0,0,Bears,CHI,DET,Lions,1544.004,1331.075,0.832002721,48,24,1
4,4MINGB,10/5/2009,2010,0,0,Vikings,MIN,GB,Packers,1582.374,1508.297,0.690101009,30,23,1
5,5BUFCLE,10/11/2009,2010,0,0,Bills,BUF,CLE,Browns,1420.285,1362.176,0.670107736,3,6,0
5,5LARMIN,10/11/2009,2010,0,0,Rams,LAR,MIN,Vikings,1291.374,1594.496,0.202500247,10,38,0
5,5ARIHOU,10/11/2009,2010,0,0,Cardinals,ARI,HOU,Texans,1522.765,1480.196,0.650040433,28,21,1
5,5CARWSH,10/11/2009,2010,0,0,Panthers,CAR,WSH,Redskins,1466.641,1472.853,0.583804468,20,17,1
5,5SFATL,10/11/2009,2010,0,0,49ers,SF,ATL,Falcons,1502.29,1541.021,0.537732257,10,45,0
5,5SEAJAX,10/11/2009,2010,0,0,Seahawks,SEA,JAX,Jaguars,1415.818,1493.235,0.482138105,41,0,1
5,5BALCIN,10/11/2009,2010,0,0,Ravens,BAL,CIN,Bengals,1630.024,1492.71,0.76216991,14,17,0
5,5PHITB,10/11/2009,2010,0,0,Eagles,PHI,TB,Buccaneers,1591.644,1404.693,0.810051761,33,14,1
5,5TENIND,10/11/2009,2010,0,0,Titans,TEN,IND,Colts,1511.753,1669.325,0.369843731,9,31,0
5,5NYGOAK,10/11/2009,2010,0,0,Giants,NYG,OAK,Raiders,1641.764,1378.931,0.868431199,44,7,1
5,5KCDAL,10/11/2009,2010,0,0,Chiefs,KC,DAL,Cowboys,1321.477,1548.326,0.282584462,20,26,0
5,5DETPIT,10/11/2009,2010,0,0,Lions,DET,PIT,Steelers,1321.472,1632.805,0.194974255,20,28,0
5,5DENNE,10/11/2009,2010,0,0,Broncos,DEN,NE,Patriots,1541.507,1625.978,0.472008277,20,17,1
5,5MIANYJ,10/12/2009,2010,0,0,Dolphins,MIA,NYJ,Jets,1492.566,1543.025,0.520913971,31,27,1
6,6NETEN,10/18/2009,2010,0,0,Patriots,NE,TEN,Titans,1611.208,1489.497,0.745507706,59,0,1
6,6PITCLE,10/18/2009,2010,0,0,Steelers,PIT,CLE,Browns,1640.51,1381.857,0.865657454,27,14,1
6,6ATLCHI,10/18/2009,2010,0,0,Falcons,ATL,CHI,Bears,1580.026,1553.606,0.62860942,21,14,1
6,6JAXLAR,10/18/2009,2010,0,0,Jaguars,JAX,LAR,Rams,1454.303,1279.069,0.799456039,23,20,1
6,6WSHKC,10/18/2009,2010,0,0,Redskins,WSH,KC,Chiefs,1461.614,1311.233,0.775534892,6,14,0
6,6TBCAR,10/18/2009,2010,0,0,Buccaneers,TB,CAR,Panthers,1394.482,1477.88,0.47354787,21,28,0
6,6SEAARI,10/18/2009,2010,0,0,Seahawks,SEA,ARI,Cardinals,1454.75,1536.641,0.47571103,3,27,0
6,6OAKPHI,10/18/2009,2010,0,0,Raiders,OAK,PHI,Eagles,1370.6,1601.855,0.277471085,13,9,1
6,6NYJBUF,10/18/2009,2010,0,0,Jets,NYJ,BUF,Bills,1527.705,1400.604,0.751349429,13,16,0
6,6CINHOU,10/18/2009,2010,0,0,Bengals,CIN,HOU,Texans,1515.982,1466.32,0.659271065,17,28,0
6,6GBDET,10/18/2009,2010,0,0,Packers,GB,DET,Lions,1496.175,1313.767,0.805995207,26,0,1
6,6MINBAL,10/18/2009,2010,0,0,Vikings,MIN,BAL,Ravens,1606.802,1606.752,0.592535724,33,31,1
6,6NONYG,10/18/2009,2010,0,0,Saints,NO,NYG,Giants,1623.705,1650.095,0.55533665,48,27,1
6,6LACDEN,10/19/2009,2010,0,0,Chargers,LAC,DEN,Broncos,1558.406,1556.277,0.595421937,23,34,0
