gameorder,date,season,game_id,away,opp_fran,away_conference,away_div,fran_id,home,home_conference,home_div
5,10/7/2018,2019,5NYGCAR,NYG,Giants,NFC,East,Panthers,CAR,NFC,South
5,10/7/2018,2019,5MIACIN,MIA,Dolphins,AFC,East,Bengals,CIN,AFC,North
5,10/7/2018,2019,5BALCLE,BAL,Ravens,AFC,North,Browns,CLE,AFC,North
5,10/7/2018,2019,5GBDET,GB,Packers,NFC,North,Lions,DET,NFC,North
5,10/7/2018,2019,5JAXKC,JAX,Jaguars,AFC,South ,Chiefs,KC,AFC,West
5,10/7/2018,2019,5DENNYJ,DEN,Broncos,AFC,West,Jets,NYJ,AFC,East
5,10/7/2018,2019,5ATLPIT,ATL,Falcons,NFC,South,Steelers,PIT,AFC,North
5,10/7/2018,2019,5OAKLAC,OAK,Raiders,AFC,West,Chargers,LAC,AFC,West
5,10/7/2018,2019,5MINPHI,MIN,Vikings,NFC,North,Eagles,PHI,NFC,East
5,10/7/2018,2019,5STLSEA,STL,Rams,NFC,West,Seahawks,SEA,NFC,West
5,10/7/2018,2019,5ARISF,ARI,Cardinals,NFC,West,49ers,SF,NFC,West
5,10/7/2018,2019,5DALHOU,DAL,Cowboys,NFC,East,Texans,HOU,AFC,South
5,10/8/2018,2019,5WASNO,WAS,Redskins,NFC,East,Saints,NO,NFC,South
6,10/11/2018,2019,6PHINYG,PHI,Eagles,NFC,East,Giants,NYG,NFC,East
6,10/14/2018,2019,6TBATL,TB,Buccaneers,NFC,South,Falcons,ATL,NFC,South
6,10/14/2018,2019,6PITCIN,PIT,Steelers,AFC,North,Bengals,CIN,AFC,North
6,10/14/2018,2019,6LACCLE,LAC,Chargers,AFC,West,Browns,CLE,AFC,North
6,10/14/2018,2019,6BUFHOU,BUF,Bills,AFC,East,Texans,HOU,AFC,South
6,10/14/2018,2019,6CHIMIA,CHI,Bears,NFC,North,Dolphins,MIA,AFC,East
6,10/14/2018,2019,6ARIMIN,ARI,Cardinals,NFC,West,Vikings,MIN,NFC,North
6,10/14/2018,2019,6INDNYJ,IND,Colts,AFC,South ,Jets,NYJ,AFC,East
6,10/14/2018,2019,6SEAOAK,SEA,Seahawks,NFC,West,Raiders,OAK,AFC,West
6,10/14/2018,2019,6CARWAS,CAR,Panthers,NFC,South,Redskins,WAS,NFC,East
6,10/14/2018,2019,6STLDEN,STL,Rams,NFC,West,Broncos,DEN,AFC,West
6,10/14/2018,2019,6JAXDAL,JAX,Jaguars,AFC,South ,Cowboys,DAL,NFC,East
6,10/14/2018,2019,6BALTEN,BAL,Ravens,AFC,North,Titans,TEN,AFC,South
6,10/14/2018,2019,6KCNE,KC,Chiefs,AFC,West,Patriots,NE,AFC,East
6,10/15/2018,2019,6SFGB,SF,49ers,NFC,West,Packers,GB,NFC,North
7,10/18/2018,2019,7DENARI,DEN,Broncos,AFC,West,Cardinals,ARI,NFC,West
7,10/21/2018,2019,7TENLAC,TEN,Titans,AFC,South ,Chargers,LAC,AFC,West
7,10/21/2018,2019,7NECHI,NE,Patriots,AFC,West,Bears,CHI,NFC,North
7,10/21/2018,2019,7BUFIND,BUF,Bills,AFC,East,Colts,IND,AFC,South
7,10/21/2018,2019,7HOUJAX,HOU,Texans,AFC,South , Jaguars,JAX,AFC,South
7,10/21/2018,2019,7CINKC,CIN,Bengals,AFC,North,Chiefs,KC,AFC,West
7,10/21/2018,2019,7DETMIA,DET,Lions,NFC,North,Dolphins,MIA,AFC,East
7,10/21/2018,2019,7MINNYJ,MIN,Vikings,NFC,North,Jets,NYJ,AFC,East
7,10/21/2018,2019,7CARPHI,CAR,Panthers,NFC,South,Eagles,PHI,NFC,East
7,10/21/2018,2019,7CLETB,CLE,Browns,AFC,North,Buccaneers,TB,NFC,South
7,10/21/2018,2019,7NOBAL,NO,Saints,NFC,South,Ravens,BAL,AFC,North
7,10/21/2018,2019,7DALWAS,DAL,Cowboys,NFC,East,Redskins,WAS,NFC,East
7,10/21/2018,2019,7STLSF,STL,Rams,NFC,West,49ers,SF,NFC,West
7,10/22/2018,2019,7NYGATL,NYG,Giants,NFC,East,Falcons,ATL,NFC,South
8,10/25/2018,2019,8MIAHOU,MIA,Dolphins,AFC,East,Texans,HOU,AFC,South
8,10/28/2018,2019,8PHIJAX,PHI,Eagles,NFC,East, Jaguars,JAX,AFC,South
8,10/28/2018,2019,8BALCAR,BAL,Ravens,AFC,North,Panthers,CAR,NFC,South
8,10/28/2018,2019,8NYJCHI,NYJ, Jets,AFC,West,Bears,CHI,NFC,North
8,10/28/2018,2019,8TBCIN,TB,Buccaneers,NFC,South,Bengals,CIN,AFC,North
8,10/28/2018,2019,8SEADET,SEA,Seahawks,NFC,West,Lions,DET,NFC,North
8,10/28/2018,2019,8DENKC,DEN,Broncos,AFC,West,Chiefs,KC,AFC,West
8,10/28/2018,2019,8WASNYG,WAS,Redskins,NFC,East,Giants,NYG,NFC,East
8,10/28/2018,2019,8CLEPIT,CLE,Browns,AFC,North,Steelers,PIT,AFC,North
8,10/28/2018,2019,8INDOAK,IND,Colts,AFC,South ,Raiders,OAK,AFC,West
8,10/28/2018,2019,8SFARI,SF,49ers,NFC,West,Cardinals,ARI,NFC,West
8,10/28/2018,2019,8GBSTL,GB,Packers,NFC,North,Rams,STL,NFC,West
8,10/28/2018,2019,8NOMIN,NO,Saints,NFC,South,Vikings,MIN,NFC,North
8,10/29/2018,2019,8NEBUF,NE,Patriots,AFC,East,Bills,BUF,AFC,East
9,11/1/2018,2019,9OAKSF,OAK,Raiders,AFC,West,49ers,SF,NFC,West
9,11/4/2018,2019,9CHIBUF,CHI,Bears,NFC,North,Bills,BUF,AFC,East
9,11/4/2018,2019,9TBCAR,TB,Buccaneers,NFC,South,Panthers,CAR,NFC,South
9,11/4/2018,2019,9KCCLE,KC,Chiefs,AFC,West,Browns,CLE,AFC,North
9,11/4/2018,2019,9NYJMIA,NYJ, Jets,AFC,East,Dolphins,MIA,AFC,East
9,11/4/2018,2019,9DETMIN,DET,Lions,NFC,North,Vikings,MIN,NFC,North
